Path,Article Title,External Url,Internal Url,No Index,Last Modified,Last Modified By
"/content/help/en/adobe-connect/using",using,,,false,2016-01-05 14:02:59,some_user1
"/content/help/en/adobe-connect/using/accessibility-features",Accessibility features in Adobe Connect,https://helpx.adobe.com/adobe-connect/using/accessibility-features.html,https://helpx-internal.corp.adobe.com/content/help/en/adobe-connect/using/accessibility-features.html,false,2025-03-20 17:57:16,some_user2
"/content/help/en/adobe-connect/using/accessibility-features1",Accessibility features in Adobe Connect,https://helpx.adobe.com/adobe-connect/using/accessibility-features1.html,https://helpx-internal.corp.adobe.com/content/help/en/adobe-connect/using/accessibility-features.html,true,2025-01-22 14:53:12,some_user3
"/content/help/en/adobe-connect/using/add-connect-meeting-invite-calendar",Connect an external calendar,https://helpx.adobe.com/adobe-connect/using/add-connect-meeting-invite-calendar.html,,false,2025-03-20 17:57:16,some_user4
"/content/help/en/adobe-connect/using/adobe-connect-12-9-release-notes",Adobe Connect 12.9 Release Notes,,,false,2025-02-07 09:35:03,some_user5
"/content/help/en/adobe-connect/using/adobe-connect-ai-help-assistant",Adobe Connect AI-powered Help Assistant (Beta),,,false,2025-03-21 10:55:53,some_user6
"/content/help/en/adobe-connect/using/adobe-connect-application-for-desktop",Adobe Connect application for desktop,https://helpx.adobe.com/adobe-connect/using/adobe-connect-application-for-desktop.html,,false,2024-08-07 14:24:07,some_user7
"/content/help/en/adobe-connect/using/adobe-connect-html5-capabilities",Adobe Connect browser app capabilities,https://helpx.adobe.com/adobe-connect/adobe-connect-html5-capabilities.html,https://helpx-internal.corp.adobe.com/content/help/en/adobe-connect/adobe-connect-html5-capabilities.html,false,2025-02-07 11:14:39,some_user8
"/content/help/en/adobe-connect/using/adobe-connect-html5-capabilities1",Adobe Connect browser app capabilities,https://helpx.adobe.com/adobe-connect/using/adobe-connect-html5-capabilities1.html,https://helpx-internal.corp.adobe.com/content/help/en/adobe-connect/adobe-connect-html5-capabilities.html,true,2025-01-22 14:53:12,some_user9
"/content/help/en/adobe-connect/using/adobe-connect-mobile-app",Adobe Connect Mobile App,https://helpx.adobe.com/adobe-connect/using/adobe-connect-mobile-app.html,,false,2025-03-20 17:57:15,some_user10
"/content/help/en/adobe-connect/using/adobe-connect-mobile-app-interface",Take a tour of the Adobe Connect mobile app interface,https://helpx.adobe.com/adobe-connect/using/adobe-connect-mobile-app-interface.html,,false,2025-03-20 17:57:15,some_user11
"/content/help/en/adobe-connect/using/adobe-connect-mobile-app-test",Adobe Connect Mobile App,,,false,2025-03-20 17:57:14,some_user12
"/content/help/en/adobe-connect/using/adobe-connect-mobile-app1",[Old content BACKUP] Adobe Connect Mobile app,https://helpx.adobe.com/adobe-connect/using/adobe-connect-mobile-app.html,,false,2025-02-06 02:12:20,some_user13
"/content/help/en/adobe-connect/using/adobe-connect-mobile-app2",Adobe Connect Mobile app,https://helpx.adobe.com/adobe-connect/using/adobe-connect-mobile-app.html,,false,2025-03-18 15:47:05,some_user14
"/content/help/en/adobe-connect/using/adobe-connect-mobile-classic-new-features",Mobile Apps - Adobe Connect Classic vs Adobe Connect New,https://helpx.adobe.com/adobe-connect/using/adobe-connect-mobile-classic-new-features.html,,false,2023-06-06 18:14:01,some_user15
"/content/help/en/adobe-connect/using/archive",ARCHIVE,,,false,2025-03-12 13:15:58,some_user16
"/content/help/en/adobe-connect/using/attendees",Manage attendees in Attendees pod,https://helpx.adobe.com/adobe-connect/using/attendees.html,https://helpx-internal.corp.adobe.com/content/help/en/adobe-connect/using/attendees.html,false,2025-03-03 17:21:37,some_user17
"/content/help/en/adobe-connect/using/attendees-pod",Attendees pod,https://helpx.adobe.com/adobe-connect/using/attendees-pod.html,,true,2025-03-03 17:21:34,some_user18
"/content/help/en/adobe-connect/using/attendees1",Manage attendees in Attendees pod,https://helpx.adobe.com/adobe-connect/using/attendees1.html,,true,2025-01-22 14:53:12,some_user19
"/content/help/en/adobe-connect/using/attendees11",Manage attendees in Attendees pod,https://helpx.adobe.com/adobe-connect/using/attendees.html,,false,2025-01-22 10:46:53,some_user20
"/content/help/en/adobe-connect/using/attending-connect-events",Attend Adobe Connect Events,https://helpx.adobe.com/adobe-connect/using/attending-connect-events.html,https://helpx-internal.corp.adobe.com/content/help/en/adobe-connect/using/attending-connect-events.html,false,2025-03-03 17:21:33,some_user21
"/content/help/en/adobe-connect/using/audio-in-sessions",Audio in sessions,,,false,2024-09-23 05:33:34,some_user22
"/content/help/en/adobe-connect/using/audio-meetings",Audio in Adobe Connect meetings,https://helpx.adobe.com/adobe-connect/using/audio-meetings.html,,false,2025-03-20 17:57:12,some_user23
"/content/help/en/adobe-connect/using/audio-meetings-video",Audio in Adobe Connect meetings: video guide,,,false,2024-09-19 15:28:24,some_user24
"/content/help/en/adobe-connect/using/audio-video-in-breakout-rooms",Audio and video in breakout rooms,,,false,2024-08-27 06:44:45,some_user25
"/content/help/en/adobe-connect/using/backstage-for-adobe-connect-meeting",Backstage for Adobe Connect session,https://helpx.adobe.com/adobe-connect/using/backstage-for-adobe-connect-meeting.html,,false,2025-03-03 17:21:29,some_user26
"/content/help/en/adobe-connect/using/backstage-for-adobe-connect-meeting1",Backstage for Adobe Connect session,https://helpx.adobe.com/adobe-connect/using/backstage-for-adobe-connect-meeting1.html,,true,2025-01-22 14:53:12,some_user27
"/content/help/en/adobe-connect/using/backstage-for-adobe-connect-meeting11",Backstage for Adobe Connect session,https://helpx.adobe.com/adobe-connect/using/backstage-for-adobe-connect-meeting.html,,false,2025-01-22 10:42:51,some_user28
"/content/help/en/adobe-connect/using/breakout-rooms",Breakout rooms in Adobe Connect meetings,https://helpx.adobe.com/adobe-connect/using/breakout-rooms.html,https://helpx-internal.corp.adobe.com/content/help/en/adobe-connect/using/breakout-rooms.html,false,2024-11-18 16:27:19,some_user29
"/content/help/en/adobe-connect/using/broadcast-controls-green-room",Broadcast controls,https://helpx.adobe.com/adobe-connect/using/broadcast-controls-green-room.html,,true,2025-03-03 17:21:25,some_user30
"/content/help/en/adobe-connect/using/browser-behavior-change",Upcoming Browser Behavior Changes: What users need to know,https://helpx.adobe.com/adobe-connect/using/updating-meetings.html,,false,2020-12-15 10:54:39,some_user31
"/content/help/en/adobe-connect/using/chat-pod",Chat pod,https://helpx.adobe.com/adobe-connect/using/chat-pod.html,,false,2025-03-03 17:21:24,some_user32
"/content/help/en/adobe-connect/using/chat-pod1",Chat pod,https://helpx.adobe.com/adobe-connect/using/chat-pod1.html,,true,2025-01-22 14:53:11,some_user33
"/content/help/en/adobe-connect/using/closed-captioning-html-client",Closed captioning in Adobe Connect,https://helpx.adobe.com/adobe-connect/using/closed-captioning-html-client.html,https://helpx-internal.corp.adobe.com/content/help/en/adobe-connect/using/closed-captioning-html-client.html,false,2025-03-03 17:21:21,some_user34
"/content/help/en/adobe-connect/using/conduct-breakout-room",Conduct a breakout room,https://helpx.adobe.com/adobe-connect/using/conduct-breakout-room.html,,true,2025-03-03 17:21:19,some_user35
"/content/help/en/adobe-connect/using/conducting-training-connect",Conduct trainings with Adobe Connect,https://helpx.adobe.com/adobe-connect/using/conducting-training-connect.html,https://helpx-internal.corp.adobe.com/content/help/en/adobe-connect/using/conducting-training-connect.html,false,2025-03-03 17:21:19,some_user36
"/content/help/en/adobe-connect/using/connect-central-home-page",Adobe Connect Central home page,https://helpx.adobe.com/adobe-connect/using/connect-central-home-page.html,,false,2025-03-03 17:21:17,some_user37
"/content/help/en/adobe-connect/using/connect-collaborate-succeed","Connect\, collaborate\, succeed",,,false,2024-08-14 07:19:48,some_user38
"/content/help/en/adobe-connect/using/connect-events",About Adobe Connect Events,https://helpx.adobe.com/adobe-connect/using/connect-events.html,https://helpx-internal.corp.adobe.com/content/help/en/adobe-connect/using/connect-events.html,false,2025-03-03 17:21:14,some_user39
